url,name,stars,pricing/rate/amount,address,city,country,roomTypeCategory,bedroomLabel,bedLabel,bathroomLabel,minNights,maxNights,numberOfGuests,guestControls/allowsEvents,guestControls/allowsPets,Air conditioning,Backyard,Bathtub,Bed linens,Cable TV,Carbon monoxide alarm,Coffee maker,Cooking basics,Dedicated workspace,Dining table,Dishes and silverware,Dishwasher,Dryer,Elevator,Essentials,Extra pillows and blankets,Fire extinguisher,First aid kit,Free parking on premises,Hair dryer,Hangers,Heating,Hot water,Hot water kettle,Iron,Kitchen,Long term stays allowed,Luggage dropoff allowed,Microwave,Oven,Patio or balcony,Pool,Private entrance,Refrigerator,Shampoo,Smoke alarm,Stove,TV,Washer,Wifi
https://www.airbnb.com/rooms/11880250,ATTICA VILLA - Athens Riviera,4.89,920,"Agios Dimitrios, Greece",Agios Dimitrios,Greece,entire_home,6.0,9.0,6.0,7,30,12,FALSE,TRUE,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
https://www.airbnb.com/rooms/11894630,Home away from Home. You'll love it,4.95,129,"Subang Jaya, Selangor, Malaysia",Subang Jaya,Malaysia,entire_home,4.0,5.0,3.0,1,1125,8,TRUE,TRUE,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1
https://www.airbnb.com/rooms/11899062,LEGAL Apartment for 7 / 3BR / 2Bath,4.9,337,"Berlin, Germany",Berlin,Germany,entire_home,3.0,5.0,2.0,5,14,7,FALSE,FALSE,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1
https://www.airbnb.com/rooms/1190198,Beautiful family home (150m2) & great terrace,5.0,441,"Amsterdam, Noord-Holland, Netherlands",Amsterdam,Netherlands,entire_home,3.0,3.0,1.5,6,30,4,FALSE,FALSE,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/11932118,"Luxurious, large house, architecturally renowned",4.74,361,"Dublin, Ireland",Dublin,Ireland,entire_home,4.0,5.0,2.5,4,60,9,FALSE,FALSE,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/11935161,⏰Cozy Penthouse with Style & View.,4.8,433,"Dublin, Ireland",Dublin,Ireland,entire_home,1.0,1.0,1.0,1,27,4,FALSE,FALSE,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1
https://www.airbnb.com/rooms/11938057,捷運7分鍾,4.94,411,"Yonghe District, New Taipei City Taiwan, Taiwan",Yonghe District,Taiwan,entire_home,3.0,8.0,2.0,360,360,6,FALSE,FALSE,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/11943839,"Stunning house, 3 outside spaces,4 bedrooms",4.94,616,"Venice, Italy",Venice,Italy,entire_home,4.0,6.0,2.0,2,45,8,FALSE,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
https://www.airbnb.com/rooms/11956073,"Serene, Spacious place in the  centre of the city",4.84,50,"Chennai, Mahalingapuram, India",Chennai,India,entire_home,2.0,2.0,2.0,2,21,4,FALSE,FALSE,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
https://www.airbnb.com/rooms/11956632,"Myra Manor, Malahide, Co Dublin",4.9,1056,"Malahide, Dublin, Ireland",Malahide,Ireland,entire_home,5.0,6.0,5.0,2,30,10,FALSE,FALSE,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
